party,press_release,claim_number,references
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,3,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,4,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,5,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,6,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,7,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,8,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,9,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,10,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,11,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,12,0
Democratic,20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt,13,0
Democratic,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,1,0
Democratic,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,2,0
Democratic,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,3,0
Democratic,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,4,0
Democratic,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,5,0
