source,filename,document_date,num_sentences,ai_statement_count,matched_ai_terms,unique_urls_count,unique_dois_count,unique_arxiv_count,has_ai
Democratic Assembly,20170301-berman-appointed-chair-select-committee-master-plan-higher-education.txt,,23,0,,0,0,0,False
Democratic Assembly,20170305-assemblymember-berman-honors-rita-mancera-woman-year.txt,,54,0,,0,0,0,False
Democratic Assembly,20170305-quirk-silva-honors-orange-county-leader-woman-year.txt,"March 11, 2017",30,0,,0,0,0,False
Democratic Assembly,20170306-assemblymember-arambula-honors-irma-olguin-jr-co-founder-bitwise-industries.txt,,14,0,,0,0,0,False
Democratic Assembly,20170306-assemblymember-irwin-honors-ventura-county-superior-court-judge-michele.txt,"June 28, 2016",17,0,,0,0,0,False
Democratic Assembly,20170307-housing-committee-approves-quirk-silva-resolution-help-future-homeowners.txt,,17,0,,0,0,0,False
Democratic Assembly,20170312-quirk-silva-and-assembly-leaders-announce-adegrees-not-debta-higher.txt,"March 14, 2017",9,0,,0,0,0,False
Democratic Assembly,20170315-assemblymember-muratsuchis-ab-368-which-protects-young-sexual-assault.txt,,16,0,,0,0,0,False
Democratic Assembly,20170320-assemblymember-muratsuchis-ab-368-which-protects-young-sexual-assault.txt,,11,0,,0,0,0,False
Democratic Assembly,20170320-assemblywoman-quirk-silva-urges-csu-trustees-vote-against-tuition-increase.txt,,12,0,,0,0,0,False
Democratic Assembly,20170321-assemblywoman-quirk-silva-challenges-csu-trustees-tuition-increase.txt,,17,0,,0,0,0,False
Democratic Assembly,20170324-assembly-bill-ab-491-which-establishes-3m-grants-education-japanese.txt,,16,0,,0,0,0,False
Democratic Assembly,20170327-assemblymember-al-muratsuchi-chairman-select-committee-aerospace-recognizes.txt,,14,0,,0,0,0,False
Democratic Assembly,20170328-assemblymember-muratsuchi-advances-bill-culturally-sensitive-senior-health.txt,,13,0,,0,0,0,False
Democratic Assembly,20170328-assemblywoman-quirk-silva-calls-tax-incentives.txt,,33,0,,0,0,0,False
Democratic Assembly,20170328-el-departamento-de-salud-del-estado-se-rehusa-rectificar-un-error-que.txt,,17,0,,0,0,0,False
Democratic Assembly,20170328-sexual-assault-survivors-bill-rights-passed-first-hurdle-california.txt,,28,0,,0,0,0,False
Democratic Assembly,20170401-assemblymember-al-muratsuchi-testifies-south-coast-air-quality-management.txt,,16,0,,0,0,0,False
Democratic Assembly,20170404-assemblywoman-quirk-silva-praises-irvine-leaders-veterans-cemetery-action.txt,,9,0,,0,0,0,False
Democratic Assembly,20170406-assemblymember-al-muratsuchis-assembly-bill-ab-1649-passes-out-assemblys.txt,,15,0,,0,0,0,False
Democratic Assembly,20170406-assemblywoman-quirk-silva-advances-legislation-safer-neighborhoods-and.txt,,17,0,,0,0,0,False
Democratic Assembly,20170406-berman-releases-statement-historic-transportation-package.txt,,31,0,,0,0,0,False
