,name,district,title,link,date,party
3801,Tasha Boerner,77,Assemblymember Boerner's Statement on the USSC Decision about New York's Broadband Affordability Law,https://a77.asmdc.org/press-releases/20241217-assemblymember-boerners-statement-ussc-decision-about-new-yorks-broadband,"Tuesday, December 17, 2024",Democrat
3802,Tasha Boerner,77,Assemblymember Boerner & Barona Band of Mission Indians Award Education Grant to Washington Elementary,https://a77.asmdc.org/press-releases/20241016-assemblymember-boerner-barona-band-mission-indians-award-education-grant,"Wednesday, October 16, 2024",Democrat
3803,Tasha Boerner,77,Assemblymember Boerner Honors Local Environmental Heroes,https://a77.asmdc.org/press-releases/20241005-assemblymember-boerner-honors-local-environmental-heroes,"Saturday, October 5, 2024",Democrat
3804,Tasha Boerner,77,Assemblymember Boerner’s Bill on E-Bike Safety Signed by the Governor,https://a77.asmdc.org/press-releases/20240930-assemblymember-boerners-bill-e-bike-safety-signed-governor,"Monday, September 30, 2024",Democrat
3805,Tasha Boerner,77,Assemblymember Boerner’s Bill to Reduce Utility Rates is Signed by the Governor,https://a77.asmdc.org/press-releases/20240923-assemblymember-boerners-bill-reduce-utility-rates-signed-governor,"Monday, September 23, 2024",Democrat
3806,Tasha Boerner,77,Assemblymember Boerner Hosts Menopause Webinar with Women’s Health Experts,https://a77.asmdc.org/press-releases/20240918-assemblymember-boerner-hosts-menopause-webinar-womens-health-experts,"Wednesday, September 18, 2024",Democrat
3807,Tasha Boerner,77,Assemblymember Boerner’s Bill to Prioritize Postpartum Health Signed by the Governor,https://a77.asmdc.org/press-releases/20240826-assemblymember-boerners-bill-prioritize-postpartum-health-signed-governor,"Monday, August 26, 2024",Democrat
3808,Tasha Boerner,77,Assemblymember Boerner Gives Backpacks and School Supplies to Families in San Diego,https://a77.asmdc.org/press-releases/20240802-assemblymember-boerner-gives-backpacks-and-school-supplies-families-san,"Friday, August 2, 2024",Democrat
3809,Tasha Boerner,77,Assemblymember Boerner Secures State Funding for Continuous Coverage of Children Enrolled in Medi-Cal,https://a77.asmdc.org/press-releases/20240627-assemblymember-boerner-secures-state-funding-continuous-coverage-children,"Thursday, June 27, 2024",Democrat
3810,Tasha Boerner,77,Assemblymember Boerner Recognizes La Jolla Playhouse for California Nonprofits Day,https://a77.asmdc.org/press-releases/20240606-assemblymember-boerner-recognizes-la-jolla-playhouse-california-nonprofits,"Thursday, June 6, 2024",Democrat
3811,Tasha Boerner,77,Legislation on Utility Rate Adjustments by Assemblymember Boerner Passes Assembly Floor,https://a77.asmdc.org/press-releases/20240524-legislation-utility-rate-adjustments-assemblymember-boerner-passes-assembly,"Friday, May 24, 2024",Democrat
3812,Tasha Boerner,77,Assemblymember Boerner’s Bill to Restore Coastal Wetlands Advances,https://a77.asmdc.org/press-releases/20240524-assemblymember-boerners-bill-restore-coastal-wetlands-advances,"Friday, May 24, 2024",Democrat
3813,Tasha Boerner,77,E-Bike Safety Bill by Assemblymember Boerner Passes Assembly Floor During National Bike Month,https://a77.asmdc.org/press-releases/20240524-e-bike-safety-bill-assemblymember-boerner-passes-assembly-floor-during,"Friday, May 24, 2024",Democrat
3814,Tasha Boerner,77,Assemblymember Boerner’s Bill to Prioritize Postpartum Health Passes Assembly Floor,https://a77.asmdc.org/press-releases/20240524-assemblymember-boerners-bill-prioritize-postpartum-health-passes-assembly,"Friday, May 24, 2024",Democrat
